sector_key,anzsic_division_code,industry,internal_grouping_example,classification_risk_score,sales_m_latest,employment_000_latest,ebitda_margin_pct_latest,ebitda_margin_change_pctpts,sales_growth_pct,wages_to_sales_pct_latest,gross_operating_profit_to_sales_ratio_latest,gross_operating_profit_to_sales_ratio_yoy_change,inventories_to_sales_ratio_latest,inventories_to_sales_ratio_yoy_change,employment_yoy_growth_pct,demand_proxy_building_type,demand_yoy_growth_pct,cash_rate_latest_pct,cash_rate_change_1y_pctpts,inventory_days_est,inventory_days_yoy_change,inventory_days_est_source,inventory_stock_build_risk,employment_score,margin_level_score,margin_trend_score,inventory_score,demand_score,macro_risk_score,industry_base_risk_score,industry_base_risk_level
accommodation and food services,H,Accommodation And Food Services,Hospitality and leisure,2.75,152965,1217.9,11.379727388618312,-1.3637070695603057,8.602120000851986,25.539829372732324,0.1,0.0,0.06,0.0,0.7248089949966952,Short term accommodation buildings,113.70446184881926,3.85,-0.24999999999999956,6.1,0.0,ABS quarterly inventories/sales ratio converted to estimated inventory days,Low,4,4,3,1,1,2.6,2.68,Medium
agriculture forestry and fishing,A,"Agriculture, Forestry And Fishing",Primary production and agribusiness,3.75,119772,411.0,14.583542063253516,-5.488198423334131,-11.05070849300419,9.745182513442206,,,,,-5.114110005950289,Agricultural and aquacultural buildings,58.37037037037036,3.85,-0.24999999999999956,31.7,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,5,3,5,2,1,3.2,3.5,Elevated
construction,E,Construction,"Building, civil and trade services",2.75,624590,1290.7,10.152580092540706,-0.40471572198898187,10.53712060879568,15.038185049392402,0.08,0.0,,,1.4730323170025317,Total Non-residential,71.4623487039674,3.85,-0.24999999999999956,20.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,3,4,3,2,1,2.6,2.68,Medium
health care and social assistance,Q,Health Care and Social Assistance,Health and care services,1.75,224001,1796.9,16.650818523131594,-0.8405757281802728,7.542332601984714,43.28730675309485,,,,,3.7362582470246597,Health buildings,,3.85,-0.24999999999999956,6.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,2,3,5,1,3,2.8,2.22,Medium
manufacturing,C,Manufacturing,Industrial and manufacturing,3.75,514199,901.7,9.154432427912152,-0.8332896052245626,1.3373721209350098,14.29874426049059,0.1,-0.009999999999999995,0.52,-0.030000000000000027,-0.9267832441852364,Industrial Buildings - Total,55.53198132831347,3.85,-0.24999999999999956,52.7,-3.7,ABS quarterly inventories/sales ratio converted to estimated inventory days,Moderate,5,4,3,3,1,3.2,3.5,Elevated
professional scientific and technical services,M,"Professional, Scientific And Technical Services",Professional and technical services,2.0,353044,1317.4,12.992998039904375,0.33800056419295643,8.681090000123138,35.329307395112224,0.13,-0.010000000000000009,,,5.499757701056085,Offices,,3.85,-0.24999999999999956,6.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,1,3,4,1,3,2.4,2.18,Medium
retail trade,G,Retail Trade,Consumer retail and discretionary,3.25,643421,1509.6,7.800646854858638,-0.10484627933452995,4.819178970381488,10.283002886135204,0.07,0.0,0.31,-0.010000000000000009,-0.45528819056106506,Retail and wholesale trade buildings,68.4682526776571,3.85,-0.24999999999999956,30.4,-1.0,ABS quarterly inventories/sales ratio converted to estimated inventory days,Low,5,5,3,2,1,3.2,3.23,Elevated
transport postal and warehousing,I,"Transport, Postal And Warehousing","Freight, logistics and storage",2.25,244980,670.6,17.718589272593682,0.24414041711602508,3.463130331953712,19.693036166217652,0.21,0.009999999999999981,,,2.793166377826317,Warehouses,69.31762782941249,3.85,-0.24999999999999956,18.0,,"Fallback inventory-days estimate derived from public margin, sales, demand, and sector inventory profile",Low,2,2,3,2,1,2.0,2.14,Medium
wholesale trade,F,Wholesale Trade,Wholesale and distribution,3.25,772255,604.2,6.120776168493568,0.1751352517981326,2.538040736118119,6.767194773747014,0.07,0.010000000000000009,0.47,-0.020000000000000018,-8.735576475741723,Warehouses,69.31762782941249,3.85,-0.24999999999999956,46.1,-1.5,ABS quarterly inventories/sales ratio converted to estimated inventory days,Moderate,5,5,2,3,1,3.2,3.23,Elevated
