sector_key,industry,ar_days_benchmark,ar_days_stress_benchmark,ar_days_severe_benchmark,ar_stress_uplift_days,ar_severe_uplift_days,ap_days_benchmark,ap_days_stress_benchmark,ap_days_severe_benchmark,ap_stress_uplift_days,ap_severe_uplift_days,ptrs_paid_on_time_pct_latest,inventory_days_benchmark,inventory_days_yoy_change,inventory_stock_build_risk,cash_conversion_cycle_benchmark_days,cash_conversion_cycle_stress_days,cash_conversion_cycle_uplift_days,ar_collection_score,receivables_realisation_score,ap_supplier_stretch_score,inventory_liquidity_score,inventory_stock_build_score,cash_conversion_cycle_score,working_capital_scorecard_overlay_score,working_capital_scorecard_overlay_band,working_capital_pd_overlay_score,working_capital_pd_overlay_band,working_capital_lgd_overlay_score,working_capital_lgd_overlay_band,scorecard_primary_driver,pd_primary_driver,lgd_primary_driver,metric_origin
manufacturing,Manufacturing,33.7,48.0,67.0,14.3,33.3,33.7,48.0,67.0,14.3,33.3,0.621,52.7,-3.7,Moderate,52.7,67.0,14.3,3.33,3.67,3.0,5,3,5,4.08,High,3.58,Elevated,3.89,Elevated,Inventory liquidity,Cash conversion cycle,Inventory liquidity,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
wholesale trade,Wholesale Trade,29.3,41.0,65.0,11.7,35.7,29.3,41.0,65.0,11.7,35.7,0.654,46.1,-1.5,Moderate,46.1,57.8,11.7,3.0,3.67,3.0,4,3,5,3.75,Elevated,3.47,Elevated,3.56,Elevated,Cash conversion cycle,Cash conversion cycle,Inventory liquidity,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
retail trade,Retail Trade,29.7,42.0,77.0,12.3,47.3,29.7,42.0,77.0,12.3,47.3,0.675,30.4,-1.0,Low,30.4,42.7,12.3,3.0,3.67,3.0,3,1,4,3.25,Elevated,2.64,Medium,2.56,Medium,Cash conversion cycle,Cash conversion cycle,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
transport postal and warehousing,"Transport, Postal And Warehousing",27.7,41.0,62.0,13.3,34.3,27.7,41.0,62.0,13.3,34.3,0.619,18.0,,Low,18.0,31.3,13.3,3.33,4.0,3.0,2,1,3,2.83,Medium,2.61,Medium,2.33,Medium,AR collection pressure,Receivables realisation,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
construction,Construction,33.5,47.0,68.0,13.5,34.5,33.5,47.0,68.0,13.5,34.5,0.648,20.0,,Low,20.0,33.5,13.5,3.33,3.67,3.0,2,1,3,2.83,Medium,2.5,Medium,2.22,Medium,AR collection pressure,Receivables realisation,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
health care and social assistance,Health Care and Social Assistance,27.5,39.0,62.0,11.5,34.5,27.5,39.0,62.0,11.5,34.5,0.603,6.0,,Low,6.0,17.5,11.5,3.33,4.0,3.0,1,1,2,2.33,Medium,2.44,Medium,2.0,Low,AR collection pressure,Receivables realisation,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
agriculture forestry and fishing,"Agriculture, Forestry And Fishing",23.4,35.0,49.0,11.6,25.6,23.4,35.0,49.0,11.6,25.6,0.7340000000000001,31.7,,Low,31.7,43.3,11.6,2.33,3.33,2.33,3,1,4,2.92,Medium,2.42,Medium,2.44,Medium,Cash conversion cycle,Cash conversion cycle,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
accommodation and food services,Accommodation And Food Services,25.4,35.0,54.0,9.6,28.6,25.4,35.0,54.0,9.6,28.6,0.61,6.1,0.0,Low,6.1,15.7,9.6,3.0,3.67,2.67,1,1,2,2.17,Medium,2.28,Medium,1.89,Low,AR collection pressure,Receivables realisation,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
professional scientific and technical services,"Professional, Scientific And Technical Services",27.9,38.0,94.0,10.1,66.1,27.9,38.0,94.0,10.1,66.1,0.648,6.0,,Low,6.0,16.1,10.1,3.0,3.67,2.67,1,1,2,2.17,Medium,2.28,Medium,1.89,Low,AR collection pressure,Receivables realisation,Receivables realisation,AR/AP from reconstructed PTRS public payment-times tables when available; inventory from ABS quarterly inventories/sales ratio estimate; overlay scores are deterministic public-data-derived rules
