industry,current_exposure_pct,exposure_proxy_source
Accommodation And Food Services,6.7,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
"Agriculture, Forestry And Fishing",3.6,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
Construction,16.0,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
Health Care and Social Assistance,9.8,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
Manufacturing,12.6,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
"Professional, Scientific And Technical Services",10.8,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
Retail Trade,17.0,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
"Transport, Postal And Warehousing",6.8,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
Wholesale Trade,16.7,public proxy based on 70% industry sales share and 30% employment share from ABS Australian Industry
